DepartureTime,ArraivalTime,Price,Operator,NumberOfStops,Duration,Layovers,Source
2023-12-20 04:00:00,2023-12-20 17:05:00,330.0,['Multiple airlines'],2,47100,"['2h 25m layover, Milan Malpensa', '3h 50m layover, Tirana Rinas']",kayak.com
2023-12-20 10:15:00,2023-12-20 19:05:00,912.0,['Scandinavian Airlines'],1,31800,"['4h 00m layover, Stockholm Arlanda']",kayak.com
2023-12-20 10:05:00,2023-12-20 18:25:00,931.0,"['Scandinavian Airlines', 'Turkish Airlines']",1,30000,"['3h 20m layover, Kastrup Copenhagen']",kayak.com
2023-12-20 07:25:00,2023-12-20 16:20:00,912.0,['Scandinavian Airlines'],1,32100,"['4h 00m layover, Stockholm Arlanda']",kayak.com
2023-12-20 03:20:00,2023-12-20 17:00:00,324.0,"['Eurowings', 'Pegasus Airlines']",2,49200,"['2h 20m layover, Berlin Brandenburg', '4h 50m layover, Cologne Köln/Bonn']",kayak.com
2023-12-20 07:25:00,2023-12-20 21:35:00,406.0,['Lufthansa'],2,51000,"['6h 25m layover, Stockholm Arlanda', '1h 15m layover, Frankfurt am Main']",kayak.com
2023-12-20 01:30:00,2023-12-20 10:35:00,912.0,['Scandinavian Airlines'],1,32700,"['4h 15m layover, Stockholm Arlanda']",kayak.com
2023-12-20 06:25:00,2023-12-20 20:30:00,369.0,"['Finnair', 'AnadoluJet']",1,50700,"['7h 05m layover, Tel Aviv Ben Gurion Intl']",kayak.com
2023-12-20 06:30:00,2023-12-20 15:05:00,931.0,"['Scandinavian Airlines', 'Turkish Airlines']",1,30900,"['3h 35m layover, Kastrup Copenhagen']",kayak.com
2023-12-20 07:25:00,2023-12-20 15:55:00,961.0,['Scandinavian Airlines'],2,30600,"['0h 35m layover, Stockholm Arlanda', '2h 15m layover, Gothenburg Landvetter']",kayak.com
2023-12-20 06:30:00,2023-12-20 21:35:00,361.0,['Lufthansa'],2,54300,"['6h 05m layover, Kastrup Copenhagen', '2h 40m layover, Frankfurt am Main']",kayak.com
